Point 0: True class: 0, Predicted class: 0. Correct.
Point 76: True class: 8, Predicted class: 8. Correct.
Point 77: True class: 2, Predicted class: 1. Incorrect.
Point 78: True class: 0, Predicted class: 0. Correct.
Point 79: True class: 0, Predicted class: 0. Correct.
Point 80: True class: 1, Predicted class: 1. Correct.
Point 81: True class: 7, Predicted class: 7. Correct.
Point 82: True class: 6, Predicted class: 6. Correct.
Point 83: True class: 3, Predicted class: 3. Correct.
Point 84: True class: 2, Predicted class: 2. Correct.
Point 85: True class: 1, Predicted class: 1. Correct.
Point 86: True class: 7, Predicted class: 7. Correct.
Point 87: True class: 4, Predicted class: 1. Incorrect.
Point 88: True class: 6, Predicted class: 6. Correct.
Point 89: True class: 3, Predicted class: 3. Correct.
Point 90: True class: 1, Predicted class: 1. Correct.
Point 91: True class: 3, Predicted class: 3. Correct.
Point 92: True class: 9, Predicted class: 9. Correct.
Point 93: True class: 1, Predicted class: 1. Correct.
Point 94: True class: 7, Predicted class: 7. Correct.
Point 95: True class: 6, Predicted class: 6. Correct.
Point 96: True class: 8, Predicted class: 8. Correct.
Point 97: True class: 4, Predicted class: 4. Correct.
Point 98: True class: 3, Predicted class: 3. Correct.
Point 99: True class: 1, Predicted class: 1. Correct.
Point 100: True class: 4, Predicted class: 4. Correct.
Point 101: True class: 0, Predicted class: 0. Correct.
Point 102: True class: 5, Predicted class: 5. Correct.
Point 103: True class: 3, Predicted class: 3. Correct.
Point 104: True class: 6, Predicted class: 6. Correct.
Point 105: True class: 9, Predicted class: 9. Correct.
Point 106: True class: 6, Predicted class: 6. Correct.
Point 107: True class: 1, Predicted class: 1. Correct.
Point 108: True class: 7, Predicted class: 7. Correct.
Point 109: True class: 5, Predicted class: 5. Correct.
Point 110: True class: 4, Predicted class: 4. Correct.
Point 111: True class: 4, Predicted class: 4. Correct.
Point 112: True class: 7, Predicted class: 7. Correct.
Point 113: True class: 2, Predicted class: 2. Correct.
Point 114: True class: 8, Predicted class: 8. Correct.
Point 115: True class: 2, Predicted class: 2. Correct.
Point 116: True class: 2, Predicted class: 2. Correct.
Point 117: True class: 5, Predicted class: 5. Correct.
Point 118: True class: 7, Predicted class: 7. Correct.
Point 119: True class: 9, Predicted class: 9. Correct.
Point 120: True class: 5, Predicted class: 5. Correct.
Point 121: True class: 4, Predicted class: 4. Correct.
Point 122: True class: 8, Predicted class: 8. Correct.
Point 123: True class: 8, Predicted class: 8. Correct.
Point 124: True class: 4, Predicted class: 4. Correct.
Point 125: True class: 9, Predicted class: 9. Correct.
Point 126: True class: 0, Predicted class: 0. Correct.
Point 127: True class: 8, Predicted class: 8. Correct.
Point 128: True class: 9, Predicted class: 9. Correct.
Point 129: True class: 8, Predicted class: 1. Incorrect.
Point 130: True class: 0, Predicted class: 0. Correct.
Point 131: True class: 1, Predicted class: 1. Correct.
Point 132: True class: 2, Predicted class: 2. Correct.
Point 133: True class: 3, Predicted class: 3. Correct.
Point 134: True class: 4, Predicted class: 1. Incorrect.
Point 135: True class: 5, Predicted class: 5. Correct.
Point 136: True class: 6, Predicted class: 6. Correct.
Point 137: True class: 7, Predicted class: 7. Correct.
Point 138: True class: 8, Predicted class: 8. Correct.
Point 139: True class: 9, Predicted class: 9. Correct.
Point 140: True class: 0, Predicted class: 0. Correct.
Point 141: True class: 1, Predicted class: 1. Correct.
Point 142: True class: 2, Predicted class: 2. Correct.
Point 143: True class: 3, Predicted class: 3. Correct.
Point 144: True class: 4, Predicted class: 4. Correct.
Point 145: True class: 5, Predicted class: 5. Correct.
Point 146: True class: 6, Predicted class: 6. Correct.
Point 147: True class: 7, Predicted class: 7. Correct.
Point 148: True class: 8, Predicted class: 8. Correct.
Point 149: True class: 9, Predicted class: 9. Correct.
Point 150: True class: 0, Predicted class: 0. Correct.
Point 151: True class: 1, Predicted class: 1. Correct.
Point 152: True class: 2, Predicted class: 2. Correct.
Point 153: True class: 3, Predicted class: 3. Correct.
Point 154: True class: 4, Predicted class: 4. Correct.
Point 155: True class: 5, Predicted class: 5. Correct.
Point 156: True class: 6, Predicted class: 6. Correct.
Point 157: True class: 7, Predicted class: 7. Correct.
Point 158: True class: 8, Predicted class: 8. Correct.
Point 159: True class: 9, Predicted class: 9. Correct.
Point 160: True class: 0, Predicted class: 0. Correct.
Point 161: True class: 9, Predicted class: 9. Correct.
Point 162: True class: 5, Predicted class: 5. Correct.
Point 163: True class: 5, Predicted class: 5. Correct.
Point 164: True class: 6, Predicted class: 6. Correct.
Point 165: True class: 5, Predicted class: 5. Correct.
Point 166: True class: 0, Predicted class: 0. Correct.
Point 167: True class: 9, Predicted class: 9. Correct.
Point 168: True class: 8, Predicted class: 8. Correct.
Point 169: True class: 9, Predicted class: 9. Correct.
Point 170: True class: 8, Predicted class: 8. Correct.
Point 171: True class: 4, Predicted class: 4. Correct.
Point 172: True class: 1, Predicted class: 1. Correct.
Point 173: True class: 7, Predicted class: 7. Correct.
Point 174: True class: 7, Predicted class: 7. Correct.
Point 175: True class: 3, Predicted class: 3. Correct.
Point 176: True class: 5, Predicted class: 5. Correct.
Point 177: True class: 1, Predicted class: 1. Correct.
Point 178: True class: 0, Predicted class: 0. Correct.
Point 179: True class: 0, Predicted class: 0. Correct.
Point 180: True class: 2, Predicted class: 2. Correct.
Point 181: True class: 2, Predicted class: 2. Correct.
Point 182: True class: 7, Predicted class: 7. Correct.
Point 183: True class: 8, Predicted class: 8. Correct.
Point 184: True class: 2, Predicted class: 2. Correct.
Point 185: True class: 0, Predicted class: 0. Correct.
Point 186: True class: 1, Predicted class: 1. Correct.
Point 187: True class: 2, Predicted class: 2. Correct.
Point 188: True class: 6, Predicted class: 6. Correct.
Point 189: True class: 3, Predicted class: 3. Correct.
Point 190: True class: 3, Predicted class: 3. Correct.
Point 191: True class: 7, Predicted class: 7. Correct.
Point 192: True class: 3, Predicted class: 3. Correct.
Point 193: True class: 3, Predicted class: 3. Correct.
Point 194: True class: 4, Predicted class: 4. Correct.
Point 195: True class: 6, Predicted class: 6. Correct.
Point 196: True class: 6, Predicted class: 6. Correct.
Point 197: True class: 6, Predicted class: 6. Correct.
Point 198: True class: 4, Predicted class: 4. Correct.
Point 199: True class: 9, Predicted class: 9. Correct.
Point 200: True class: 1, Predicted class: 1. Correct.
Point 201: True class: 5, Predicted class: 5. Correct.
Point 202: True class: 0, Predicted class: 0. Correct.
Point 203: True class: 9, Predicted class: 9. Correct.
Point 204: True class: 5, Predicted class: 5. Correct.
Point 205: True class: 2, Predicted class: 2. Correct.
Point 206: True class: 8, Predicted class: 8. Correct.
Point 207: True class: 2, Predicted class: 2. Correct.
Point 208: True class: 0, Predicted class: 0. Correct.
Point 209: True class: 0, Predicted class: 0. Correct.
Point 210: True class: 1, Predicted class: 1. Correct.
Point 211: True class: 7, Predicted class: 7. Correct.
Point 212: True class: 6, Predicted class: 6. Correct.
Point 213: True class: 3, Predicted class: 3. Correct.
Point 214: True class: 2, Predicted class: 2. Correct.
Point 215: True class: 1, Predicted class: 1. Correct.
Point 216: True class: 7, Predicted class: 7. Correct.
Point 217: True class: 3, Predicted class: 3. Correct.
Point 218: True class: 1, Predicted class: 1. Correct.
Point 219: True class: 3, Predicted class: 3. Correct.
Point 220: True class: 9, Predicted class: 9. Correct.
Point 221: True class: 1, Predicted class: 1. Correct.
Point 222: True class: 7, Predicted class: 7. Correct.
Point 223: True class: 6, Predicted class: 6. Correct.
Point 224: True class: 8, Predicted class: 8. Correct.
Point 225: True class: 4, Predicted class: 4. Correct.
Point 226: True class: 3, Predicted class: 3. Correct.
Point 227: True class: 1, Predicted class: 1. Correct.
Point 228: True class: 4, Predicted class: 4. Correct.
Point 229: True class: 0, Predicted class: 0. Correct.
Point 230: True class: 5, Predicted class: 5. Correct.
Point 231: True class: 3, Predicted class: 3. Correct.
Point 232: True class: 6, Predicted class: 6. Correct.
Point 233: True class: 9, Predicted class: 9. Correct.
Point 234: True class: 6, Predicted class: 6. Correct.
Point 235: True class: 1, Predicted class: 1. Correct.
Point 236: True class: 7, Predicted class: 7. Correct.
Point 237: True class: 5, Predicted class: 5. Correct.
Point 238: True class: 4, Predicted class: 4. Correct.
Point 239: True class: 4, Predicted class: 4. Correct.
Point 240: True class: 7, Predicted class: 7. Correct.
Point 241: True class: 2, Predicted class: 2. Correct.
Point 242: True class: 8, Predicted class: 1. Incorrect.
Point 243: True class: 2, Predicted class: 2. Correct.
Point 244: True class: 2, Predicted class: 2. Correct.
Point 245: True class: 5, Predicted class: 5. Correct.
Point 246: True class: 5, Predicted class: 5. Correct.
Point 247: True class: 4, Predicted class: 4. Correct.
Point 248: True class: 8, Predicted class: 8. Correct.
Point 249: True class: 8, Predicted class: 8. Correct.
Point 250: True class: 4, Predicted class: 4. Correct.
Point 251: True class: 9, Predicted class: 9. Correct.
Point 252: True class: 0, Predicted class: 0. Correct.
Point 253: True class: 8, Predicted class: 8. Correct.
Point 254: True class: 9, Predicted class: 9. Correct.
Point 255: True class: 8, Predicted class: 8. Correct.
Point 256: True class: 0, Predicted class: 0. Correct.
Point 257: True class: 1, Predicted class: 1. Correct.
Point 258: True class: 2, Predicted class: 2. Correct.
Point 259: True class: 3, Predicted class: 3. Correct.
Point 260: True class: 4, Predicted class: 4. Correct.
Point 261: True class: 5, Predicted class: 5. Correct.
Point 262: True class: 6, Predicted class: 6. Correct.
Point 263: True class: 7, Predicted class: 7. Correct.
Point 264: True class: 8, Predicted class: 8. Correct.
Point 265: True class: 9, Predicted class: 9. Correct.
Point 266: True class: 0, Predicted class: 0. Correct.
Point 267: True class: 1, Predicted class: 1. Correct.
Point 268: True class: 2, Predicted class: 2. Correct.
Point 269: True class: 3, Predicted class: 3. Correct.
Point 270: True class: 4, Predicted class: 4. Correct.
Point 271: True class: 5, Predicted class: 5. Correct.
Point 272: True class: 6, Predicted class: 6. Correct.
Point 273: True class: 7, Predicted class: 7. Correct.
Point 274: True class: 8, Predicted class: 8. Correct.
Point 275: True class: 9, Predicted class: 9. Correct.
Point 276: True class: 0, Predicted class: 0. Correct.
Point 277: True class: 1, Predicted class: 1. Correct.
Point 278: True class: 2, Predicted class: 2. Correct.
Point 279: True class: 3, Predicted class: 3. Correct.
Point 280: True class: 4, Predicted class: 4. Correct.
Point 281: True class: 5, Predicted class: 5. Correct.
Point 282: True class: 6, Predicted class: 6. Correct.
Point 283: True class: 7, Predicted class: 7. Correct.
Point 284: True class: 8, Predicted class: 8. Correct.
Point 285: True class: 9, Predicted class: 9. Correct.
Point 286: True class: 0, Predicted class: 0. Correct.
Point 287: True class: 9, Predicted class: 9. Correct.
Point 288: True class: 5, Predicted class: 5. Correct.
Point 289: True class: 5, Predicted class: 5. Correct.
Point 290: True class: 6, Predicted class: 6. Correct.
Point 291: True class: 5, Predicted class: 5. Correct.
Point 292: True class: 0, Predicted class: 0. Correct.
Point 293: True class: 9, Predicted class: 9. Correct.
Point 294: True class: 8, Predicted class: 8. Correct.
Point 295: True class: 9, Predicted class: 9. Correct.
Point 296: True class: 8, Predicted class: 8. Correct.
Point 297: True class: 4, Predicted class: 4. Correct.
Point 298: True class: 1, Predicted class: 1. Correct.
Point 299: True class: 7, Predicted class: 7. Correct.
Point 300: True class: 7, Predicted class: 7. Correct.
Point 301: True class: 3, Predicted class: 3. Correct.
Point 302: True class: 5, Predicted class: 5. Correct.
Point 303: True class: 1, Predicted class: 1. Correct.
Point 304: True class: 0, Predicted class: 0. Correct.
Point 305: True class: 0, Predicted class: 0. Correct.
Point 306: True class: 2, Predicted class: 2. Correct.
Point 307: True class: 2, Predicted class: 2. Correct.
Point 308: True class: 7, Predicted class: 7. Correct.
Point 309: True class: 8, Predicted class: 8. Correct.
Point 310: True class: 2, Predicted class: 2. Correct.
Point 311: True class: 0, Predicted class: 0. Correct.
Point 312: True class: 1, Predicted class: 1. Correct.
Point 313: True class: 2, Predicted class: 2. Correct.
Point 314: True class: 6, Predicted class: 6. Correct.
Point 315: True class: 3, Predicted class: 3. Correct.
Point 316: True class: 3, Predicted class: 3. Correct.
Point 317: True class: 7, Predicted class: 7. Correct.
Point 318: True class: 3, Predicted class: 3. Correct.
Point 319: True class: 3, Predicted class: 3. Correct.
Point 320: True class: 4, Predicted class: 4. Correct.
Point 321: True class: 6, Predicted class: 6. Correct.
Point 322: True class: 6, Predicted class: 6. Correct.
Point 323: True class: 6, Predicted class: 6. Correct.
Point 324: True class: 4, Predicted class: 4. Correct.
Point 325: True class: 9, Predicted class: 9. Correct.
Point 326: True class: 1, Predicted class: 1. Correct.
Point 327: True class: 5, Predicted class: 5. Correct.
Point 328: True class: 0, Predicted class: 0. Correct.
Point 329: True class: 9, Predicted class: 9. Correct.
Point 330: True class: 5, Predicted class: 5. Correct.
Point 331: True class: 2, Predicted class: 2. Correct.
Point 332: True class: 8, Predicted class: 8. Correct.
Point 333: True class: 2, Predicted class: 2. Correct.
Point 334: True class: 0, Predicted class: 0. Correct.
Point 335: True class: 0, Predicted class: 0. Correct.
Point 336: True class: 1, Predicted class: 1. Correct.
Point 337: True class: 7, Predicted class: 7. Correct.
Point 338: True class: 6, Predicted class: 6. Correct.
Point 339: True class: 3, Predicted class: 3. Correct.
Point 340: True class: 2, Predicted class: 2. Correct.
Point 341: True class: 1, Predicted class: 1. Correct.
Point 342: True class: 7, Predicted class: 7. Correct.
Point 343: True class: 4, Predicted class: 4. Correct.
Point 344: True class: 6, Predicted class: 6. Correct.
Point 345: True class: 3, Predicted class: 3. Correct.
Point 346: True class: 1, Predicted class: 1. Correct.
Point 347: True class: 3, Predicted class: 3. Correct.
Point 348: True class: 9, Predicted class: 9. Correct.
Point 349: True class: 1, Predicted class: 1. Correct.
Point 350: True class: 7, Predicted class: 7. Correct.
Point 351: True class: 6, Predicted class: 6. Correct.
Point 352: True class: 8, Predicted class: 8. Correct.
Point 353: True class: 4, Predicted class: 4. Correct.
Point 354: True class: 3, Predicted class: 3. Correct.
Point 355: True class: 1, Predicted class: 1. Correct.
Point 356: True class: 4, Predicted class: 4. Correct.
Point 357: True class: 0, Predicted class: 0. Correct.
Point 358: True class: 5, Predicted class: 5. Correct.
Point 359: True class: 3, Predicted class: 3. Correct.
Point 360: True class: 6, Predicted class: 6. Correct.
Point 361: True class: 9, Predicted class: 9. Correct.
Point 362: True class: 6, Predicted class: 6. Correct.
Point 363: True class: 1, Predicted class: 1. Correct.
Point 364: True class: 7, Predicted class: 7. Correct.
Point 365: True class: 5, Predicted class: 5. Correct.
Point 366: True class: 4, Predicted class: 4. Correct.
Point 367: True class: 4, Predicted class: 4. Correct.
Point 368: True class: 7, Predicted class: 7. Correct.
Point 369: True class: 2, Predicted class: 2. Correct.
Point 370: True class: 8, Predicted class: 8. Correct.
Point 371: True class: 2, Predicted class: 2. Correct.
Point 372: True class: 2, Predicted class: 2. Correct.
Point 373: True class: 5, Predicted class: 5. Correct.
Point 374: True class: 7, Predicted class: 7. Correct.
Point 375: True class: 9, Predicted class: 9. Correct.
Point 376: True class: 5, Predicted class: 5. Correct.
Point 377: True class: 4, Predicted class: 4. Correct.
Point 378: True class: 8, Predicted class: 8. Correct.
Point 379: True class: 8, Predicted class: 8. Correct.
Point 380: True class: 4, Predicted class: 4. Correct.
Point 381: True class: 9, Predicted class: 9. Correct.
Point 382: True class: 0, Predicted class: 0. Correct.
Point 383: True class: 8, Predicted class: 8. Correct.
Point 384: True class: 9, Predicted class: 9. Correct.
Point 385: True class: 3, Predicted class: 3. Correct.
Point 386: True class: 0, Predicted class: 0. Correct.
Point 387: True class: 1, Predicted class: 1. Correct.
Point 388: True class: 2, Predicted class: 2. Correct.
Point 389: True class: 3, Predicted class: 3. Correct.
Point 390: True class: 4, Predicted class: 4. Correct.
Point 391: True class: 5, Predicted class: 5. Correct.
Point 392: True class: 6, Predicted class: 6. Correct.
Point 393: True class: 7, Predicted class: 7. Correct.
Point 394: True class: 8, Predicted class: 8. Correct.
Point 395: True class: 9, Predicted class: 9. Correct.
Point 396: True class: 0, Predicted class: 0. Correct.
Point 397: True class: 1, Predicted class: 1. Correct.
Point 398: True class: 2, Predicted class: 2. Correct.
Point 399: True class: 3, Predicted class: 3. Correct.
Point 400: True class: 4, Predicted class: 4. Correct.
Point 401: True class: 5, Predicted class: 5. Correct.
Point 402: True class: 6, Predicted class: 6. Correct.
Point 403: True class: 7, Predicted class: 7. Correct.
Point 404: True class: 8, Predicted class: 8. Correct.
Point 405: True class: 9, Predicted class: 9. Correct.
Point 406: True class: 0, Predicted class: 0. Correct.
Point 407: True class: 1, Predicted class: 1. Correct.
Point 408: True class: 2, Predicted class: 2. Correct.
Point 409: True class: 3, Predicted class: 3. Correct.
Point 410: True class: 4, Predicted class: 4. Correct.
Point 411: True class: 5, Predicted class: 5. Correct.
Point 412: True class: 6, Predicted class: 6. Correct.
Point 413: True class: 7, Predicted class: 7. Correct.
Point 414: True class: 8, Predicted class: 8. Correct.
Point 415: True class: 9, Predicted class: 9. Correct.
Point 416: True class: 0, Predicted class: 0. Correct.
Point 417: True class: 9, Predicted class: 9. Correct.
Point 418: True class: 5, Predicted class: 5. Correct.
Point 419: True class: 5, Predicted class: 5. Correct.
Point 420: True class: 6, Predicted class: 6. Correct.
Point 421: True class: 5, Predicted class: 9. Incorrect.
Point 422: True class: 0, Predicted class: 0. Correct.
Point 423: True class: 9, Predicted class: 9. Correct.
Point 424: True class: 8, Predicted class: 8. Correct.
Point 425: True class: 9, Predicted class: 9. Correct.
Point 426: True class: 8, Predicted class: 8. Correct.
Point 427: True class: 4, Predicted class: 4. Correct.
Point 428: True class: 1, Predicted class: 1. Correct.
Point 429: True class: 7, Predicted class: 9. Incorrect.
Point 430: True class: 7, Predicted class: 7. Correct.
Point 431: True class: 3, Predicted class: 3. Correct.
Point 432: True class: 5, Predicted class: 5. Correct.
Point 433: True class: 1, Predicted class: 1. Correct.
Point 434: True class: 0, Predicted class: 0. Correct.
Point 435: True class: 0, Predicted class: 0. Correct.
Point 436: True class: 2, Predicted class: 2. Correct.
Point 437: True class: 2, Predicted class: 2. Correct.
Point 438: True class: 7, Predicted class: 7. Correct.
Point 439: True class: 8, Predicted class: 8. Correct.
Point 440: True class: 2, Predicted class: 2. Correct.
Point 441: True class: 0, Predicted class: 0. Correct.
Point 442: True class: 1, Predicted class: 1. Correct.
Point 443: True class: 2, Predicted class: 2. Correct.
Point 444: True class: 6, Predicted class: 6. Correct.
Point 445: True class: 3, Predicted class: 3. Correct.
Point 446: True class: 3, Predicted class: 3. Correct.
Point 447: True class: 7, Predicted class: 7. Correct.
Point 448: True class: 3, Predicted class: 3. Correct.
Point 449: True class: 3, Predicted class: 3. Correct.
Point 450: True class: 4, Predicted class: 4. Correct.
Point 451: True class: 6, Predicted class: 6. Correct.
Point 452: True class: 6, Predicted class: 6. Correct.
Point 453: True class: 6, Predicted class: 6. Correct.
Point 454: True class: 4, Predicted class: 4. Correct.
Point 455: True class: 9, Predicted class: 9. Correct.
Point 456: True class: 1, Predicted class: 1. Correct.
Point 457: True class: 5, Predicted class: 5. Correct.
Point 458: True class: 0, Predicted class: 0. Correct.
Point 459: True class: 9, Predicted class: 9. Correct.
Point 460: True class: 5, Predicted class: 5. Correct.
Point 461: True class: 2, Predicted class: 2. Correct.
Point 462: True class: 8, Predicted class: 8. Correct.
Point 463: True class: 2, Predicted class: 2. Correct.
Point 464: True class: 0, Predicted class: 0. Correct.
Point 465: True class: 0, Predicted class: 0. Correct.
Point 466: True class: 1, Predicted class: 1. Correct.
Point 467: True class: 7, Predicted class: 7. Correct.
Point 468: True class: 6, Predicted class: 6. Correct.
Point 469: True class: 3, Predicted class: 3. Correct.
Point 470: True class: 2, Predicted class: 2. Correct.
Point 471: True class: 1, Predicted class: 1. Correct.
Point 472: True class: 7, Predicted class: 7. Correct.
Point 473: True class: 4, Predicted class: 4. Correct.
Point 474: True class: 6, Predicted class: 6. Correct.
Point 475: True class: 3, Predicted class: 3. Correct.
Point 476: True class: 1, Predicted class: 1. Correct.
Point 477: True class: 3, Predicted class: 3. Correct.
Point 478: True class: 9, Predicted class: 9. Correct.
Point 479: True class: 1, Predicted class: 1. Correct.
Point 480: True class: 7, Predicted class: 9. Incorrect.
Point 481: True class: 6, Predicted class: 6. Correct.
Point 482: True class: 8, Predicted class: 8. Correct.
Point 483: True class: 4, Predicted class: 4. Correct.
Point 484: True class: 3, Predicted class: 3. Correct.
Point 485: True class: 1, Predicted class: 1. Correct.
Point 486: True class: 4, Predicted class: 4. Correct.
Point 487: True class: 0, Predicted class: 0. Correct.
Point 488: True class: 5, Predicted class: 5. Correct.
Point 489: True class: 3, Predicted class: 3. Correct.
Point 490: True class: 6, Predicted class: 6. Correct.
Point 491: True class: 9, Predicted class: 9. Correct.
Point 492: True class: 6, Predicted class: 6. Correct.
Point 493: True class: 1, Predicted class: 1. Correct.
Point 494: True class: 7, Predicted class: 7. Correct.
Point 495: True class: 5, Predicted class: 5. Correct.
Point 496: True class: 4, Predicted class: 4. Correct.
Point 497: True class: 4, Predicted class: 4. Correct.
Point 498: True class: 7, Predicted class: 9. Incorrect.
Point 499: True class: 2, Predicted class: 2. Correct.
Point 500: True class: 8, Predicted class: 8. Correct.
Point 501: True class: 2, Predicted class: 2. Correct.
Point 502: True class: 2, Predicted class: 2. Correct.
Point 503: True class: 5, Predicted class: 5. Correct.
Point 504: True class: 7, Predicted class: 7. Correct.
Point 505: True class: 9, Predicted class: 9. Correct.
Point 506: True class: 5, Predicted class: 5. Correct.
Point 507: True class: 4, Predicted class: 4. Correct.
Point 508: True class: 8, Predicted class: 8. Correct.
Point 509: True class: 8, Predicted class: 8. Correct.
Point 510: True class: 4, Predicted class: 4. Correct.
Point 511: True class: 9, Predicted class: 9. Correct.
Point 512: True class: 0, Predicted class: 0. Correct.
Point 513: True class: 8, Predicted class: 8. Correct.
Point 514: True class: 9, Predicted class: 9. Correct.
Point 515: True class: 8, Predicted class: 8. Correct.
Point 516: True class: 0, Predicted class: 0. Correct.
Point 517: True class: 1, Predicted class: 1. Correct.
Point 518: True class: 2, Predicted class: 2. Correct.
Point 519: True class: 3, Predicted class: 3. Correct.
Point 520: True class: 4, Predicted class: 4. Correct.
Point 521: True class: 5, Predicted class: 5. Correct.
Point 522: True class: 6, Predicted class: 6. Correct.
Point 523: True class: 7, Predicted class: 7. Correct.
Point 524: True class: 8, Predicted class: 8. Correct.
Point 525: True class: 9, Predicted class: 9. Correct.
Point 526: True class: 0, Predicted class: 0. Correct.
Point 527: True class: 1, Predicted class: 1. Correct.
Point 528: True class: 2, Predicted class: 2. Correct.
Point 529: True class: 3, Predicted class: 3. Correct.
Point 530: True class: 4, Predicted class: 4. Correct.
Point 531: True class: 5, Predicted class: 5. Correct.
Point 532: True class: 6, Predicted class: 6. Correct.
Point 533: True class: 7, Predicted class: 7. Correct.
Point 534: True class: 8, Predicted class: 8. Correct.
Point 535: True class: 9, Predicted class: 9. Correct.
Point 536: True class: 0, Predicted class: 0. Correct.
Point 537: True class: 1, Predicted class: 1. Correct.
Point 538: True class: 2, Predicted class: 2. Correct.
Point 539: True class: 3, Predicted class: 3. Correct.
Point 540: True class: 4, Predicted class: 4. Correct.
Point 541: True class: 5, Predicted class: 5. Correct.
Point 542: True class: 6, Predicted class: 6. Correct.
Point 543: True class: 7, Predicted class: 7. Correct.
Point 544: True class: 8, Predicted class: 8. Correct.
Point 545: True class: 9, Predicted class: 9. Correct.
Point 546: True class: 0, Predicted class: 0. Correct.
Point 547: True class: 9, Predicted class: 8. Incorrect.
Point 548: True class: 5, Predicted class: 5. Correct.
Point 549: True class: 5, Predicted class: 5. Correct.
Point 550: True class: 6, Predicted class: 6. Correct.
Point 551: True class: 5, Predicted class: 5. Correct.
Point 552: True class: 0, Predicted class: 0. Correct.
Point 553: True class: 9, Predicted class: 9. Correct.
Point 554: True class: 8, Predicted class: 8. Correct.
Point 555: True class: 9, Predicted class: 9. Correct.
Point 556: True class: 8, Predicted class: 8. Correct.
Point 557: True class: 4, Predicted class: 4. Correct.
